Number_of_Travelers,Budget,Area_of_Interest,Warm,Transportation_Mode,Recommendation
12,24000,National Park,Warm,Rosa Bus,"Gal Oya National Park, Ampara"
1,19000,City,Moderate,Car,"Negombo City, Negombo"
3,70000,Beach,Warm,Bikes,"Weligama Beach, Weligama"
25,190000,City,Moderate,Public Transport,"Matara City, Matara"
2,80000,Forest,Tropical,Rosa Bus,"Kottawa Arboretum, Galle"
5,190000,Forest,Tropical,Van,"Meemure, Kandy"
9,20000,Desert,Hot,Van,"Delft Island, Jaffna"
4,11000,Forest,Tropical,Van,"Kanneliya Forest Reserve, Galle"
20,55000,Forest,Tropical,Rosa Bus,"Hiyare Reservoir, Galle"
1,120000,National Park,Warm,Public Transport,"Wilpattu National Park, Wilpattu"
1,3250,City,Moderate,Bikes,"Negombo City, Negombo"
1,10500,Desert,Hot,Van,"Delft Island, Jaffna"
17,80000,National Park,Warm,Public Transport,"Gal Oya National Park, Ampara"
1,50000,Lakeside,Moderate,Bikes,"Kala Wewa, Anuradhapura"
6,30000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
22,44000,City,Moderate,Rosa Bus,"Kandy City, Kandy"
2,3500,Desert,Hot,Car,"Delft Island, Jaffna"
1,120000,Beach,Warm,Bikes,"Weligama Beach, Weligama"
22,44000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
8,140000,Mountains,Cool,Rosa Bus,"Knuckles Mountain Range, Kandy"
4,10000,Historical Site,Cool,Van,"Seetha Amman Temple, Nuwara Eliya"
22,110000,Forest,Tropical,Bikes,"Meemure, Kandy"
14,22000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
17,65000,City,Moderate,Rosa Bus,"Kandy City, Kandy"
12,70000,Forest,Tropical,Van,"Bopath Ella, Kuruwita"
7,68000,Forest,Tropical,Bikes,"Dunhinda Falls, Badulla"
10,160000,Lakeside,Moderate,Public Transport,"Victoria Reservoir, Kandy"
1,160000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
19,200000,City,Cool,Rosa Bus,"Nuwara Eliya City, Nuwara Eliya"
15,200000,Beach,Warm,Rosa Bus,"Marble Beach, Trincomalee"
1,3250,City,Cool,Rosa Bus,"Nuwara Eliya City, Nuwara Eliya"
20,110000,Beach,Warm,Rosa Bus,"Negombo Beach, Negombo"
8,44000,National Park,Warm,Van,"Kaudulla National Park, Polonnaruwa"
19,160000,National Park,Warm,Public Transport,"Kaudulla National Park, Polonnaruwa"
1,2800,Forest,Tropical,Van,"Dunhinda Falls, Badulla"
16,24000,Forest,Tropical,Public Transport,"Hiyare Reservoir, Galle"
6,45000,Lakeside,Moderate,Van,"Parakrama Samudra, Polonnaruwa"
5,50000,Forest,Tropical,Car,"Dunhinda Falls, Badulla"
20,65000,Beach,Warm,Public Transport,"Marble Beach, Trincomalee"
7,160000,Historical Site,Moderate,Rosa Bus,"Sigiriya Rock Fortress, Sigiriya"
5,28000,Desert,Hot,Bikes,"Delft Island, Jaffna"
2,33000,Historical Site,Moderate,Van,"Jetavanaramaya, Anuradhapura"
10,150000,Historical Site,Cool,Public Transport,"Seetha Amman Temple, Nuwara Eliya"
7,22000,Beach,Warm,Rosa Bus,"Bentota Beach, Bentota"
6,140000,National Park,Warm,Bikes,"Yala National Park, Yala"
12,28000,Historical Site,Moderate,Public Transport,"Jetavanaramaya, Anuradhapura"
3,140000,Historical Site,Moderate,Rosa Bus,"Anuradhapura, Anuradhapura"
12,18000,Forest,Tropical,Bikes,"Bopath Ella, Kuruwita"
17,30000,Forest,Tropical,Rosa Bus,"Kanneliya Forest Reserve, Galle"
25,30000,Lakeside,Moderate,Rosa Bus,"Handapanagala Lake, Wellawaya"
22,200000,City,Moderate,Bikes,"Negombo City, Negombo"
2,150000,Historical Site,Moderate,Bikes,"Mihintale, Mihintale"
15,68000,National Park,Warm,Public Transport,"Wasgamuwa National Park, Wasgamuwa"
12,90000,Beach,Warm,Bikes,"Uppuveli Beach, Trincomalee"
15,38000,National Park,Warm,Public Transport,"Gal Oya National Park, Ampara"
10,75000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
7,65000,Lakeside,Moderate,Van,"Victoria Reservoir, Kandy"
11,85000,Mountains,Cool,Van,"Horton Plains National Park, Nuwara Eliya"
2,130000,City,Cool,Car,"Nuwara Eliya City, Nuwara Eliya"
3,30000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
8,80000,City,Moderate,Public Transport,"Matara City, Matara"
17,68000,National Park,Warm,Bikes,"Wilpattu National Park, Wilpattu"
14,55000,City,Moderate,Rosa Bus,"Ratnapura City, Ratnapura"
20,25000,Lakeside,Moderate,Bikes,"Sorabora Wewa, Mahiyanganaya"
20,170000,Mountains,Cool,Bikes,"Lipton�s Seat, Haputale"
9,75000,Mountains,Warm,Bikes,"Ritigala, Ritigala"
22,68000,Historical Site,Moderate,Public Transport,"Mihintale, Mihintale"
4,8000,Forest,Tropical,Rosa Bus,"Badulla Forest, Badulla"
24,190000,Beach,Warm,Rosa Bus,"Hiriketiya Beach, Dickwella"
8,19000,Beach,Warm,Rosa Bus,"Negombo Beach, Negombo"
7,60000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
5,28000,Mountains,Cool,Rosa Bus,"Hunas Falls, Kandy"
22,55000,Forest,Tropical,Bikes,"Dunhinda Falls, Badulla"
7,22000,Mountains,Cool,Rosa Bus,"Little Adam's Peak, Ella"
11,28000,Lakeside,Moderate,Bikes,"Sorabora Wewa, Mahiyanganaya"
4,65000,Lakeside,Moderate,Bikes,"Victoria Reservoir, Kandy"
17,190000,Historical Site,Moderate,Public Transport,"Anuradhapura, Anuradhapura"
20,110000,Historical Site,Moderate,Public Transport,"Polonnaruwa, Polonnaruwa"
14,45000,Historical Site,Cool,Public Transport,"Seetha Amman Temple, Nuwara Eliya"
19,33000,Mountains,Cool,Rosa Bus,"Thotupola Kanda, Nuwara Eliya"
6,28000,City,Warm,Rosa Bus,"Trincomalee City, Trincomalee"
11,28000,City,Moderate,Van,"Galle City, Galle"
1,70000,Lakeside,Moderate,Car,"Koggala Lake, Koggala"
16,68000,City,Hot,Rosa Bus,"Jaffna City, Jaffna"
6,68000,Forest,Tropical,Van,"Badulla Forest, Badulla"
6,180000,Desert,Hot,Bikes,"Delft Island, Jaffna"
25,90000,National Park,Warm,Public Transport,"Kaudulla National Park, Polonnaruwa"
19,90000,City,Warm,Rosa Bus,"Trincomalee City, Trincomalee"
20,160000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
9,25000,Lakeside,Moderate,Public Transport,"Koggala Lake, Koggala"
19,90000,Mountains,Cool,Bikes,"Hunas Falls, Kandy"
25,30000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
10,68000,Forest,Tropical,Public Transport,"Hiyare Reservoir, Galle"
16,48000,City,Moderate,Bikes,"Negombo City, Negombo"
11,80000,City,Moderate,Rosa Bus,"Negombo City, Negombo"
12,150000,National Park,Warm,Bikes,"Wilpattu National Park, Wilpattu"
3,10000,Forest,Tropical,Public Transport,"Kottawa Arboretum, Galle"
4,44000,City,Cool,Public Transport,"Nuwara Eliya City, Nuwara Eliya"
2,3500,National Park,Warm,Rosa Bus,"Kaudulla National Park, Polonnaruwa"
2,3500,Mountains,Cool,Van,"Ella Rock, Ella"
8,24000,National Park,Warm,Public Transport,"Udawalawe National Park, Udawalawe"
5,45000,Beach,Warm,Bikes,"Mount Lavinia Beach, Mount Lavinia"
1,1200,Lakeside,Moderate,Rosa Bus,"Kala Wewa, Anuradhapura"
18,35000,Desert,Hot,Bikes,"Delft Island, Jaffna"
6,20000,Mountains,Cool,Rosa Bus,"Ravana Falls, Ella"
2,130000,Mountains,Cool,Public Transport,"Diyatalawa, Badulla"
1,150000,Forest,Tropical,Van,"Bopath Ella, Kuruwita"
23,180000,Beach,Warm,Rosa Bus,"Mount Lavinia Beach, Mount Lavinia"
17,44000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
1,65000,Mountains,Cool,Car,"Devon Falls, Nuwara Eliya"
13,150000,Historical Site,Moderate,Bikes,"Anuradhapura, Anuradhapura"
24,30000,Historical Site,Moderate,Rosa Bus,"Manavari Temple, Chilaw"
11,45000,Historical Site,Moderate,Rosa Bus,"Galle Fort, Galle"
9,60000,Forest,Tropical,Bikes,"Makandawa Forest Reserve, Kitulgala"
2,2700,Lakeside,Moderate,Rosa Bus,"Koggala Lake, Koggala"
13,48000,City,Moderate,Bikes,"Kandy City, Kandy"
14,200000,Forest,Tropical,Rosa Bus,"Sinharaja Forest Reserve, Deniyaya"
21,38000,Historical Site,Moderate,Rosa Bus,"Aluvihare Rock Temple, Matale"
2,2800,Historical Site,Moderate,Public Transport,"Dambulla Cave Temple, Dambulla"
24,48000,Forest,Tropical,Bikes,"Meemure, Kandy"
1,150000,Beach,Warm,Public Transport,"Weligama Beach, Weligama"
9,65000,Mountains,Warm,Public Transport,"Pidurangala, Sigiriya"
7,25000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
21,40000,National Park,Warm,Public Transport,"Yala National Park, Yala"
6,120000,Beach,Warm,Bikes,"Uppuveli Beach, Trincomalee"
23,90000,National Park,Warm,Bikes,"Gal Oya National Park, Ampara"
6,60000,National Park,Warm,Bikes,"Hikkaduwa National Park, Hikkaduwa"
18,55000,Mountains,Cool,Public Transport,"Horton Plains National Park, Nuwara Eliya"
4,12000,Lakeside,Moderate,Bikes,"Victoria Reservoir, Kandy"
11,130000,Mountains,Cool,Bikes,"Diyatalawa, Badulla"
16,55000,Forest,Tropical,Rosa Bus,"Dunhinda Falls, Badulla"
22,90000,Beach,Warm,Bikes,"Polhena Beach, Matara"
6,80000,Lakeside,Moderate,Bikes,"Sorabora Wewa, Mahiyanganaya"
13,19000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
21,35000,National Park,Warm,Bikes,"Udawalawe National Park, Udawalawe"
11,45000,Historical Site,Cool,Rosa Bus,"Seetha Amman Temple, Nuwara Eliya"
9,140000,National Park,Warm,Public Transport,"Udawalawe National Park, Udawalawe"
11,48000,Desert,Hot,Van,"Delft Island, Jaffna"
14,68000,Lakeside,Moderate,Public Transport,"Kala Wewa, Anuradhapura"
22,50000,City,Moderate,Public Transport,"Matara City, Matara"
11,70000,Historical Site,Moderate,Public Transport,"Galle Fort, Galle"
16,44000,City,Cool,Public Transport,"Nuwara Eliya City, Nuwara Eliya"
14,70000,Lakeside,Moderate,Bikes,"Koggala Lake, Koggala"
12,100000,Mountains,Cool,Public Transport,"Hunas Falls, Kandy"
25,85000,City,Moderate,Public Transport,"Negombo City, Negombo"
8,16000,Historical Site,Moderate,Public Transport,"Dambulla Cave Temple, Dambulla"
9,24000,Lakeside,Moderate,Van,"Sorabora Wewa, Mahiyanganaya"
9,80000,Desert,Hot,Van,"Delft Island, Jaffna"
15,48000,Lakeside,Moderate,Bikes,"Victoria Reservoir, Kandy"
17,60000,Mountains,Cool,Bikes,"Hunas Falls, Kandy"
4,35000,Mountains,Warm,Rosa Bus,"Ritigala, Ritigala"
10,12000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
1,2750,Historical Site,Moderate,Bikes,"Aluvihare Rock Temple, Matale"
23,60000,Lakeside,Moderate,Bikes,"Victoria Reservoir, Kandy"
4,85000,City,Moderate,Van,"Galle City, Galle"
6,65000,National Park,Warm,Rosa Bus,"Wasgamuwa National Park, Wasgamuwa"
15,120000,Forest,Tropical,Public Transport,"Sinharaja Forest Reserve, Deniyaya"
1,70000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
7,90000,National Park,Cool,Bikes,"Galway�s Land National Park, Nuwara Eliya"
3,60000,National Park,Warm,Bikes,"Kaudulla National Park, Polonnaruwa"
14,180000,Mountains,Cool,Public Transport,"Hunas Falls, Kandy"
4,200000,Historical Site,Moderate,Car,"Manavari Temple, Chilaw"
9,120000,Historical Site,Cool,Bikes,"Seetha Amman Temple, Nuwara Eliya"
15,35000,City,Moderate,Rosa Bus,"Kandy City, Kandy"
14,80000,National Park,Cool,Rosa Bus,"Galway�s Land National Park, Nuwara Eliya"
10,68000,Desert,Hot,Van,"Delft Island, Jaffna"
13,33000,Lakeside,Moderate,Rosa Bus,"Bolgoda Lake, Colombo"
2,90000,Historical Site,Moderate,Public Transport,"Galle Fort, Galle"
18,180000,National Park,Warm,Public Transport,"Udawalawe National Park, Udawalawe"
7,60000,Historical Site,Moderate,Rosa Bus,"Sigiriya Rock Fortress, Sigiriya"
20,33000,Historical Site,Moderate,Bikes,"Sigiriya Rock Fortress, Sigiriya"
3,45000,City,Moderate,Public Transport,"Ratnapura City, Ratnapura"
3,48000,Lakeside,Moderate,Rosa Bus,"Beira Lake, Colombo"
15,200000,Historical Site,Moderate,Public Transport,"Kuttam Pokuna, Anuradhapura"
5,200000,Historical Site,Moderate,Van,"Anuradhapura, Anuradhapura"
21,60000,Historical Site,Moderate,Bikes,"Sigiriya Rock Fortress, Sigiriya"
15,110000,Historical Site,Moderate,Public Transport,"Polonnaruwa, Polonnaruwa"
7,25000,Beach,Warm,Van,"Uppuveli Beach, Trincomalee"
22,130000,Forest,Tropical,Public Transport,"Bopath Ella, Kuruwita"
18,180000,Beach,Warm,Bikes,"Dickwella Beach, Dickwella"
15,40000,National Park,Warm,Public Transport,"Hikkaduwa National Park, Hikkaduwa"
25,68000,National Park,Warm,Rosa Bus,"Hikkaduwa National Park, Hikkaduwa"
5,7000,Beach,Warm,Car,"Mount Lavinia Beach, Mount Lavinia"
3,180000,Mountains,Cool,Van,"Knuckles Mountain Range, Matale"
4,60000,Mountains,Cool,Rosa Bus,"Devon Falls, Nuwara Eliya"
25,55000,City,Moderate,Public Transport,"Kandy City, Kandy"
18,75000,Lakeside,Moderate,Rosa Bus,"Beira Lake, Colombo"
18,50000,City,Cool,Rosa Bus,"Nuwara Eliya City, Nuwara Eliya"
18,180000,Lakeside,Moderate,Rosa Bus,"Bolgoda Lake, Colombo"
16,120000,Lakeside,Moderate,Bikes,"Madu River, Balapitiya"
13,130000,Lakeside,Moderate,Bikes,"Bolgoda Lake, Colombo"
10,85000,Historical Site,Moderate,Van,"Thuparamaya, Anuradhapura"
8,90000,Beach,Warm,Rosa Bus,"Passekudah Beach, Passekudah"
18,120000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
4,190000,Historical Site,Moderate,Rosa Bus,"Polonnaruwa, Polonnaruwa"
15,65000,Beach,Warm,Rosa Bus,"Hikkaduwa Beach, Hikkaduwa"
1,2400,Historical Site,Moderate,Car,"Dambulla Cave Temple, Dambulla"
12,18000,Historical Site,Moderate,Public Transport,"Anuradhapura, Anuradhapura"
17,90000,Lakeside,Moderate,Rosa Bus,"Victoria Reservoir, Kandy"
16,25000,Beach,Warm,Bikes,"Hikkaduwa Beach, Hikkaduwa"
16,60000,City,Moderate,Rosa Bus,"Negombo City, Negombo"
2,16000,Beach,Warm,Car,"Dickwella Beach, Dickwella"
1,3250,National Park,Warm,Car,"Kaudulla National Park, Polonnaruwa"
2,48000,Mountains,Cool,Bikes,"Nine Arches Bridge, Ella"
23,140000,City,Moderate,Bikes,"Kurunegala City, Kurunegala"
11,68000,Forest,Tropical,Rosa Bus,"Sinharaja Forest Reserve, Deniyaya"
11,16000,Beach,Warm,Van,"Polhena Beach, Matara"
7,20000,Lakeside,Moderate,Public Transport,"Madu River, Balapitiya"
4,180000,City,Warm,Public Transport,"Trincomalee City, Trincomalee"
13,140000,Forest,Tropical,Public Transport,"Badulla Forest, Badulla"
1,17000,Desert,Hot,Car,"Delft Island, Jaffna"
9,180000,Mountains,Cool,Rosa Bus,"Adam's Peak, Hatton"
1,2000,Forest,Tropical,Public Transport,"Badulla Forest, Badulla"
1,85000,Beach,Warm,Car,"Nilaveli Beach, Trincomalee"
12,19000,Forest,Tropical,Public Transport,"Kottawa Arboretum, Galle"
23,44000,National Park,Warm,Public Transport,"Kaudulla National Park, Polonnaruwa"
23,170000,Mountains,Cool,Bikes,"Kirigalpotta, Nuwara Eliya"
16,180000,City,Moderate,Public Transport,"Matara City, Matara"
22,48000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
16,120000,Mountains,Cool,Bikes,"Devon Falls, Nuwara Eliya"
1,2700,Mountains,Cool,Van,"Ella Rock, Ella"
16,60000,National Park,Warm,Public Transport,"Udawalawe National Park, Udawalawe"
17,24000,City,Moderate,Rosa Bus,"Kurunegala City, Kurunegala"
6,60000,Mountains,Cool,Van,"Horton Plains National Park, Nuwara Eliya"
3,120000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
4,7000,Beach,Warm,Bikes,"Bentota Beach, Bentota"
7,100000,Beach,Warm,Bikes,"Polhena Beach, Matara"
7,55000,Beach,Warm,Van,"Uppuveli Beach, Trincomalee"
5,180000,Forest,Tropical,Van,"Badulla Forest, Badulla"
4,75000,City,Moderate,Public Transport,"Galle City, Galle"
25,80000,National Park,Cool,Public Transport,"Galway�s Land National Park, Nuwara Eliya"
23,160000,Historical Site,Cool,Rosa Bus,"Seetha Amman Temple, Nuwara Eliya"
9,33000,City,Moderate,Van,"Ratnapura City, Ratnapura"
25,130000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
20,28000,Historical Site,Cool,Rosa Bus,"Seetha Amman Temple, Nuwara Eliya"
13,20000,Mountains,Warm,Rosa Bus,"Ritigala, Ritigala"
13,14000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
15,33000,Historical Site,Moderate,Bikes,"Manavari Temple, Chilaw"
17,38000,Mountains,Warm,Bikes,"Pidurangala, Sigiriya"
13,90000,Beach,Warm,Rosa Bus,"Trincomalee Beach, Trincomalee"
16,140000,Desert,Hot,Bikes,"Delft Island, Jaffna"
9,110000,Historical Site,Cool,Bikes,"Seetha Amman Temple, Nuwara Eliya"
17,200000,National Park,Warm,Bikes,"Gal Oya National Park, Ampara"
7,15000,Mountains,Cool,Van,"Devon Falls, Nuwara Eliya"
12,35000,Forest,Tropical,Van,"Meemure, Kandy"
6,180000,Historical Site,Moderate,Public Transport,"Sigiriya Rock Fortress, Sigiriya"
25,30000,City,Moderate,Public Transport,"Kurunegala City, Kurunegala"
20,65000,Beach,Warm,Rosa Bus,"Passekudah Beach, Passekudah"
10,10000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
25,200000,Historical Site,Cool,Rosa Bus,"Seetha Amman Temple, Nuwara Eliya"
4,55000,National Park,Warm,Van,"Udawalawe National Park, Udawalawe"
1,55000,Desert,Hot,Public Transport,"Delft Island, Jaffna"
21,160000,Forest,Tropical,Bikes,"Bopath Ella, Kuruwita"
9,68000,Historical Site,Moderate,Rosa Bus,"Kuttam Pokuna, Anuradhapura"
1,1300,Lakeside,Moderate,Van,"Sorabora Wewa, Mahiyanganaya"
13,55000,Lakeside,Moderate,Public Transport,"Kandy Lake, Kandy"
19,28000,Mountains,Warm,Bikes,"Ritigala, Ritigala"
22,140000,Forest,Tropical,Public Transport,"Kottawa Arboretum, Galle"
13,120000,Beach,Warm,Public Transport,"Rekawa Beach, Hambantota"
10,18000,Forest,Tropical,Van,"Kanneliya Forest Reserve, Galle"
3,16000,National Park,Cool,Van,"Galway�s Land National Park, Nuwara Eliya"
9,55000,Beach,Warm,Rosa Bus,"Bentota Beach, Bentota"
18,22000,Forest,Tropical,Bikes,"Bopath Ella, Kuruwita"
18,50000,Lakeside,Moderate,Public Transport,"Parakrama Samudra, Polonnaruwa"
1,2600,Beach,Warm,Bikes,"Rekawa Beach, Hambantota"
8,140000,Forest,Tropical,Bikes,"Kanneliya Forest Reserve, Galle"
9,85000,Desert,Hot,Van,"Delft Island, Jaffna"
1,2600,Historical Site,Moderate,Bikes,"Mihintale, Mihintale"
20,22000,Mountains,Warm,Rosa Bus,"Ritigala, Ritigala"
21,25000,Forest,Tropical,Rosa Bus,"Kottawa Arboretum, Galle"
1,90000,Historical Site,Moderate,Van,"Galle Fort, Galle"
16,24000,Beach,Warm,Rosa Bus,"Tangalle Beach, Tangalle"
18,60000,Lakeside,Moderate,Bikes,"Madu River, Balapitiya"
2,40000,City,Moderate,Public Transport,"Matara City, Matara"
12,180000,National Park,Cool,Van,"Galway�s Land National Park, Nuwara Eliya"
1,2300,Beach,Warm,Bikes,"Mirissa Beach, Mirissa"
1,90000,Desert,Hot,Van,"Delft Island, Jaffna"
5,24000,City,Moderate,Car,"Kandy City, Kandy"
22,50000,Historical Site,Moderate,Bikes,"Jetavanaramaya, Anuradhapura"
2,60000,Desert,Hot,Rosa Bus,"Delft Island, Jaffna"
10,75000,National Park,Warm,Van,"Yala National Park, Yala"
6,180000,Lakeside,Moderate,Bikes,"Koggala Lake, Koggala"
3,17000,City,Moderate,Bikes,"Negombo City, Negombo"
11,70000,Beach,Warm,Bikes,"Passekudah Beach, Passekudah"
5,80000,Desert,Hot,Van,"Delft Island, Jaffna"
4,65000,National Park,Warm,Bikes,"Kaudulla National Park, Polonnaruwa"
17,55000,Historical Site,Moderate,Rosa Bus,"Aluvihare Rock Temple, Matale"
22,110000,City,Moderate,Bikes,"Ratnapura City, Ratnapura"
19,30000,Lakeside,Moderate,Bikes,"Handapanagala Lake, Wellawaya"
4,24000,Forest,Tropical,Public Transport,"Sinharaja Forest Reserve, Deniyaya"
14,38000,Mountains,Cool,Rosa Bus,"Adam's Peak, Hatton"
8,68000,Forest,Tropical,Rosa Bus,"Meemure, Kandy"
18,30000,Desert,Hot,Bikes,"Delft Island, Jaffna"
13,160000,Forest,Tropical,Public Transport,"Hiyare Reservoir, Galle"
14,70000,Mountains,Cool,Rosa Bus,"Horton Plains National Park, Nuwara Eliya"
2,30000,Mountains,Cool,Rosa Bus,"Thotupola Kanda, Nuwara Eliya"
1,22000,National Park,Warm,Car,"Gal Oya National Park, Ampara"
4,8000,City,Hot,Van,"Jaffna City, Jaffna"
8,180000,Forest,Tropical,Rosa Bus,"Bopath Ella, Kuruwita"
4,18000,City,Moderate,Bikes,"Kandy City, Kandy"
2,48000,Forest,Tropical,Bikes,"Sinharaja Forest Reserve, Deniyaya"
13,50000,Historical Site,Moderate,Bikes,"Kuttam Pokuna, Anuradhapura"
2,190000,Lakeside,Moderate,Bikes,"Victoria Reservoir, Kandy"
6,13000,Desert,Hot,Van,"Delft Island, Jaffna"
13,140000,Historical Site,Moderate,Bikes,"Polonnaruwa, Polonnaruwa"
18,160000,Beach,Warm,Bikes,"Nilaveli Beach, Trincomalee"
1,85000,National Park,Warm,Rosa Bus,"Udawalawe National Park, Udawalawe"
7,28000,Desert,Hot,Van,"Delft Island, Jaffna"
17,170000,Forest,Tropical,Bikes,"Makandawa Forest Reserve, Kitulgala"
1,1500,Beach,Warm,Car,"Polhena Beach, Matara"
15,38000,Historical Site,Moderate,Public Transport,"Anuradhapura, Anuradhapura"
13,28000,Mountains,Cool,Bikes,"Hunas Falls, Kandy"
4,6000,Beach,Warm,Public Transport,"Weligama Beach, Weligama"
8,65000,National Park,Warm,Bikes,"Wasgamuwa National Park, Wasgamuwa"
18,75000,Forest,Tropical,Rosa Bus,"Dunhinda Falls, Badulla"
4,25000,Mountains,Cool,Car,"Thotupola Kanda, Nuwara Eliya"
4,160000,Historical Site,Moderate,Bikes,"Thuparamaya, Anuradhapura"
5,28000,Historical Site,Moderate,Van,"Galle Fort, Galle"
1,2000,Forest,Tropical,Public Transport,"Sinharaja Forest Reserve, Deniyaya"
17,58000,Desert,Hot,Bikes,"Delft Island, Jaffna"
2,10000,Historical Site,Moderate,Van,"Thuparamaya, Anuradhapura"
2,28000,National Park,Warm,Car,"Hikkaduwa National Park, Hikkaduwa"
10,160000,Historical Site,Moderate,Public Transport,"Aluvihare Rock Temple, Matale"
23,80000,City,Moderate,Rosa Bus,"Ratnapura City, Ratnapura"
6,28000,National Park,Warm,Rosa Bus,"Hikkaduwa National Park, Hikkaduwa"
9,150000,Beach,Warm,Rosa Bus,"Mirissa Beach, Mirissa"
1,22000,Historical Site,Moderate,Car,"Galle Fort, Galle"
2,44000,Beach,Warm,Van,"Weligama Beach, Weligama"
22,58000,City,Moderate,Rosa Bus,"Matara City, Matara"
12,44000,Forest,Tropical,Van,"Kanneliya Forest Reserve, Galle"
14,17000,Lakeside,Moderate,Bikes,"Kala Wewa, Anuradhapura"
5,75000,Beach,Warm,Rosa Bus,"Trincomalee Beach, Trincomalee"
15,200000,Mountains,Cool,Public Transport,"Little Adam's Peak, Ella"
16,65000,Historical Site,Moderate,Bikes,"Jetavanaramaya, Anuradhapura"
10,120000,City,Moderate,Rosa Bus,"Galle City, Galle"
21,58000,Beach,Warm,Bikes,"Polhena Beach, Matara"
9,38000,Historical Site,Cool,Public Transport,"Seetha Amman Temple, Nuwara Eliya"
24,58000,City,Moderate,Public Transport,"Matara City, Matara"
4,12000,Lakeside,Moderate,Van,"Handapanagala Lake, Wellawaya"
9,55000,Mountains,Cool,Rosa Bus,"Baker's Falls, Horton Plains"
3,38000,Beach,Warm,Van,"Weligama Beach, Weligama"
13,18000,Desert,Hot,Bikes,"Delft Island, Jaffna"
18,50000,Mountains,Cool,Rosa Bus,"Devon Falls, Nuwara Eliya"
21,28000,Lakeside,Moderate,Rosa Bus,"Madu River, Balapitiya"
13,170000,Lakeside,Moderate,Public Transport,"Victoria Reservoir, Kandy"
17,140000,Beach,Warm,Rosa Bus,"Weligama Beach, Weligama"
