Area of Interest,Origin,Destination,Preferred Climate,Number of Travelers,Budget (in LKR),Preferred Accommodation,Trip Duration (days),District
Beach,Gampaha,"Hikkaduwa Beach, Hikkaduwa",Warm,4,15000,4-star hotel,2,Galle
Lakeside,Puttalam,"Bolgoda Lake, Colombo",Moderate,16,33000,5-star hotel,1,Colombo
Beach,Vavuniya,"Polhena Beach, Matara",Warm,4,22000,3-star hotel,4,Matara
Wildlife,Puttalam,"Horton Plains National Park, Nuwara Eliya",Cool,10,144000,5-star hotel,6,Nuwara Eliya
Forest,Mannar,"Makandawa Forest Reserve, Kitulgala",Tropical,1,2000,camping,5,Kegalle
Wildlife,Nuwara Eliya,"Pigeon Island National Park, Trincomalee",Warm,11,57000,camping,9,Trincomalee
Beach,Kurunegala,"Mount Lavinia Beach, Mount Lavinia",Warm,11,59000,2-star hotel,6,Colombo
Lakeside,Colombo,"Gal Oya, Ampara",Moderate,21,52000,2-star hotel,3,Ampara
Forest,Kurunegala,"Knuckles Forest Reserve, Kandy",Tropical,9,141000,5-star hotel,7,Kandy
Wildlife,Hambantota,"Minneriya National Park, Polonnaruwa",Warm,2,9000,villa,3,Polonnaruwa
Lakeside,Monaragala,"Bolgoda Lake, Colombo",Moderate,18,15000,camping,2,Colombo
Cultural,Ratnapura,"Temple of the Tooth, Kandy",Moderate,24,258000,3-star hotel,8,Kandy
Wildlife,Hambantota,"Wasgomuwa National Park, Matale",Warm,8,85000,villa,8,Matale
Lakeside,Kegalle,"Madu River, Balapitiya",Moderate,4,35000,cottage,7,Galle
Forest,Ratnapura,"Knuckles Forest Reserve, Kandy",Tropical,19,89000,other,7,Kandy
Beach,Kalutara,"Weligama Beach, Weligama",Warm,10,19000,guest houses,2,Matara
Wildlife,Matale,"Hurulu Eco Park, Polonnaruwa",Warm,15,86000,villa,4,Polonnaruwa
Beach,Batticaloa,"Trincomalee Beach, Trincomalee",Warm,23,371000,4-star hotel,7,Trincomalee
Forest,Kegalle,"Hiyare Reservoir, Galle",Tropical,8,34000,other,8,Galle
Wildlife,Jaffna,"Maduru Oya National Park, Polonnaruwa",Warm,8,123000,4-star hotel,8,Polonnaruwa
Cultural,Batticaloa,"Dambulla Cave Temple, Dambulla",Warm,18,282000,5-star hotel,7,Matale
Beach,Matara,"Beruwala Beach, Beruwala",Warm,4,17000,camping,9,Kalutara
Forest,Ampara,"Sinharaja Forest Reserve, Deniyaya",Tropical,20,121000,other,9,Matara
Historical,Matale,"Polonnaruwa Ruins, Polonnaruwa",Warm,2,7000,2-star hotel,4,Polonnaruwa
Lakeside,Monaragala,"Sorabora Wewa, Mahiyanganaya",Moderate,22,338000,5-star hotel,8,Badulla
Beach,Kandy,"Rekawa Beach, Hambantota",Warm,24,484000,5-star hotel,9,Hambantota
Beach,Ampara,"Hiriketiya Beach, Dickwella",Warm,7,25000,other,5,Matara
Historical,Hambantota,"Jethawanaramaya, Anuradhapura",Warm,14,269000,5-star hotel,8,Anuradhapura
Beach,Kalutara,"Arugam Bay, Ampara",Warm,13,120000,2-star hotel,8,Ampara
Wildlife,Mullaitivu,"Gal Oya National Park, Ampara",Warm,12,49000,2-star hotel,4,Ampara
Mountains,Badulla,"Horton Plains National Park, Nuwara Eliya",Cool,5,43000,guest houses,9,Nuwara Eliya
Historical,Jaffna,"Sigiriya, Sigiriya",Warm,17,279000,4-star hotel,8,Matale
Historical,Kandy,"Abhayagiri Dagaba, Anuradhapura",Warm,9,17000,2-star hotel,2,Anuradhapura
Mountains,Kilinochchi,"Ravana Falls, Ella",Cool,23,191000,5-star hotel,4,Badulla
Wildlife,Kurunegala,"Sinharaja Forest Reserve, Galle",Warm,9,24000,villa,2,Galle
Beach,Ratnapura,"Uppuveli Beach, Trincomalee",Warm,4,30000,cottage,5,Trincomalee
Wildlife,Matara,"Wasgamuwa National Park, Matale",Warm,17,91000,other,8,Matale
Wildlife,Galle,"Udawalawe National Park, Ratnapura",Warm,1,8000,4-star hotel,4,Ratnapura
Historical,Polonnaruwa,"Galle Fort, Galle",Warm,2,2000,2-star hotel,1,Galle
Beach,Puttalam,"Marble Beach, Trincomalee",Warm,12,78000,guest houses,6,Trincomalee
Mountains,Monaragala,"Adam's Peak, Hatton",Cool,15,69000,villa,4,Nuwara Eliya
Lakeside,Mullaitivu,"Kantale Lake, Trincomalee",Moderate,23,18000,camping,2,Trincomalee
Lakeside,Kegalle,"Madu River, Balapitiya",Moderate,18,207000,3-star hotel,8,Galle
Wildlife,Mullaitivu,"Yala National Park, Hambantota",Warm,7,72000,4-star hotel,5,Hambantota
Wildlife,Mullaitivu,"Kaudulla National Park, Polonnaruwa",Warm,7,75000,villa,7,Polonnaruwa
Mountains,Mannar,"Diyatalawa, Badulla",Cool,3,10000,other,6,Badulla
Historical,Kegalle,"Temple of the Tooth, Kandy",Moderate,22,20000,2-star hotel,1,Kandy
Beach,Nuwara Eliya,"Beruwala Beach, Beruwala",Warm,24,275000,villa,8,Kalutara
Mountains,Trincomalee,"Baker's Falls, Horton Plains",Cool,17,65000,camping,8,Nuwara Eliya
Lakeside,Kilinochchi,"Kala Wewa, Anuradhapura",Moderate,17,104000,2-star hotel,8,Anuradhapura
Lakeside,Jaffna,"Bolgoda Lake, Colombo",Moderate,19,111000,guest houses,7,Colombo
Cultural,Gampaha,"Mihintale, Anuradhapura",Warm,15,58000,2-star hotel,4,Anuradhapura
Beach,Hambantota,"Passekudah Beach, Passekudah",Warm,14,230000,3-star hotel,9,Batticaloa
Beach,Mullaitivu,"Negombo Beach, Negombo",Warm,1,8000,2-star hotel,9,Gampaha
Cultural,Ratnapura,"Isurumuniya, Anuradhapura",Warm,21,105000,cottage,4,Anuradhapura
Forest,Galle,"Dunhinda Falls, Badulla",Tropical,10,43000,cottage,4,Badulla
Historical,Kilinochchi,"Sigiriya, Sigiriya",Warm,3,32000,3-star hotel,7,Matale
Forest,Kandy,"Hiyare Reservoir, Galle",Tropical,10,70000,5-star hotel,4,Galle
Mountains,Matara,"Hunas Falls, Kandy",Cool,23,216000,3-star hotel,7,Kandy
Forest,Ratnapura,"Knuckles Forest Reserve, Kandy",Tropical,19,13000,other,1,Kandy
Wildlife,Kilinochchi,"Maduru Oya National Park, Polonnaruwa",Warm,21,52000,cottage,2,Polonnaruwa
Beach,Hambantota,"Dickwella Beach, Dickwella",Warm,8,65000,2-star hotel,9,Matara
Forest,Gampaha,"Yagirala Forest Reserve, Kalutara",Tropical,13,100000,4-star hotel,5,Kalutara
Forest,Nuwara Eliya,"Kanneliya Forest Reserve, Galle",Tropical,12,41000,villa,3,Galle
Cultural,Kilinochchi,"Jethawanaramaya, Anuradhapura",Warm,19,14000,other,1,Anuradhapura
Beach,Kalutara,"Jungle Beach, Unawatuna",Warm,13,40000,guest houses,3,Galle
Lakeside,Vavuniya,"Parakrama Samudraya, Polonnaruwa",Moderate,20,8000,camping,1,Polonnaruwa
Historical,Mullaitivu,"Mihintale, Anuradhapura",Warm,13,112000,guest houses,9,Anuradhapura
Wildlife,Galle,"Maduru Oya National Park, Polonnaruwa",Warm,18,43000,5-star hotel,1,Polonnaruwa
Cultural,Jaffna,"Polonnaruwa Ruins, Polonnaruwa",Warm,8,37000,cottage,4,Polonnaruwa
Forest,Polonnaruwa,"Bopath Ella, Kuruwita",Tropical,3,25000,4-star hotel,6,Ratnapura
Cultural,Ratnapura,"Ambuluwawa Temple, Gampola",Moderate,12,27000,5-star hotel,1,Kandy
Forest,Matara,"Yagirala Forest Reserve, Kalutara",Tropical,18,221000,4-star hotel,8,Kalutara
Mountains,Anuradhapura,"Devon Falls, Nuwara Eliya",Cool,14,168000,villa,9,Nuwara Eliya
Historical,Kegalle,"Thuparamaya, Anuradhapura",Warm,10,114000,villa,8,Anuradhapura
Forest,Jaffna,"Kanneliya Forest Reserve, Galle",Tropical,6,9000,2-star hotel,2,Galle
Lakeside,Matale,"Nuwara Wewa, Anuradhapura",Moderate,13,40000,4-star hotel,2,Anuradhapura
Historical,Mullaitivu,"Thuparamaya, Anuradhapura",Warm,13,175000,4-star hotel,7,Anuradhapura
Cultural,Nuwara Eliya,"Galle Fort, Galle",Warm,18,274000,4-star hotel,7,Galle
Historical,Kalutara,"Temple of the Tooth, Kandy",Moderate,1,12000,3-star hotel,9,Kandy
Beach,Kurunegala,"Weligama Beach, Weligama",Warm,9,11000,cottage,1,Matara
Forest,Badulla,"Makandawa Forest Reserve, Kitulgala",Tropical,23,13000,other,1,Kegalle
Lakeside,Trincomalee,"Tissa Wewa, Tissamaharama",Moderate,19,153000,3-star hotel,7,Hambantota
Cultural,Polonnaruwa,"Anuradhapura Sacred City, Anuradhapura",Warm,1,13000,villa,9,Anuradhapura
Historical,Ratnapura,"Isurumuniya, Anuradhapura",Warm,11,48000,3-star hotel,3,Anuradhapura
Cultural,Mullaitivu,"Jethawanaramaya, Anuradhapura",Warm,10,192000,5-star hotel,8,Anuradhapura
Wildlife,Galle,"Wilpattu National Park, Anuradhapura",Warm,21,206000,2-star hotel,9,Anuradhapura
Lakeside,Ampara,"Parakrama Samudraya, Polonnaruwa",Moderate,17,127000,2-star hotel,9,Polonnaruwa
Wildlife,Gampaha,"Horton Plains National Park, Nuwara Eliya",Cool,12,104000,3-star hotel,6,Nuwara Eliya
Mountains,Kandy,"Kabaragala, Nawalapitiya",Cool,8,40000,villa,4,Nuwara Eliya
Beach,Kandy,"Arugam Bay, Ampara",Warm,12,207000,5-star hotel,6,Ampara
Wildlife,Polonnaruwa,"Wasgamuwa National Park, Matale",Warm,16,21000,villa,1,Matale
Lakeside,Kegalle,"Kantale Lake, Trincomalee",Moderate,12,18000,4-star hotel,1,Trincomalee
Forest,Mannar,"Badulla Forest, Badulla",Tropical,5,31000,guest houses,8,Badulla
Beach,Ratnapura,"Hikkaduwa Beach, Hikkaduwa",Warm,5,19000,cottage,3,Galle
Forest,Kalutara,"Meemure, Kandy",Tropical,4,26000,cottage,6,Kandy
Lakeside,Matara,"Madu River, Balapitiya",Moderate,23,66000,guest houses,3,Galle
Wildlife,Vavuniya,"Gal Oya National Park, Ampara",Warm,23,140000,villa,4,Ampara
Mountains,Gampaha,"Kalupahana, Badulla",Cool,14,65000,3-star hotel,4,Badulla
Forest,Colombo,"Dunhinda Falls, Badulla",Tropical,14,23000,4-star hotel,1,Badulla
Mountains,Mullaitivu,"Kabaragala, Nawalapitiya",Cool,22,46000,5-star hotel,1,Nuwara Eliya
Wildlife,Kalutara,"Wasgamuwa National Park, Matale",Warm,24,168000,cottage,6,Matale
Mountains,Galle,"Knuckles Mountain Range, Kandy",Cool,24,40000,guest houses,2,Kandy
Mountains,Polonnaruwa,"Devon Falls, Nuwara Eliya",Cool,18,129000,2-star hotel,8,Nuwara Eliya
Forest,Ratnapura,"Meemure, Kandy",Tropical,23,43000,other,3,Kandy
Historical,Matara,"Mihintale, Anuradhapura",Warm,16,31000,camping,4,Anuradhapura
Wildlife,Puttalam,"Kumana National Park, Ampara",Warm,20,113000,cottage,4,Ampara
Beach,Galle,"Tangalle Beach, Tangalle",Warm,18,156000,guest houses,9,Hambantota
Mountains,Batticaloa,"Kalupahana, Badulla",Cool,21,202000,5-star hotel,5,Badulla
Historical,Polonnaruwa,"Sri Maha Bodhi, Anuradhapura",Warm,9,39000,other,6,Anuradhapura
Historical,Galle,"Munneswaram Temple, Chilaw",Warm,6,35000,5-star hotel,3,Puttalam
Historical,Jaffna,"Abhayagiri Dagaba, Anuradhapura",Warm,20,75000,cottage,3,Anuradhapura
Historical,Kurunegala,"Ambuluwawa Temple, Gampola",Moderate,2,22000,5-star hotel,5,Kandy
Mountains,Kurunegala,"Nine Arches Bridge, Ella",Cool,21,120000,villa,5,Badulla
Forest,Mullaitivu,"Namal Oya Forest, Ampara",Tropical,19,79000,5-star hotel,2,Ampara
Mountains,Matale,"Kalupahana, Badulla",Cool,8,138000,5-star hotel,9,Badulla
Cultural,Colombo,"Yapahuwa Rock Fortress, Yapahuwa",Warm,14,17000,villa,1,Kurunegala
Cultural,Trincomalee,"Isurumuniya, Anuradhapura",Warm,22,53000,camping,5,Anuradhapura
Forest,Colombo,"Knuckles Forest Reserve, Kandy",Tropical,20,72000,4-star hotel,2,Kandy
Cultural,Mannar,"Gangaramaya Temple, Colombo",Warm,9,7000,2-star hotel,1,Colombo
Wildlife,Mullaitivu,"Wasgomuwa National Park, Matale",Warm,3,54000,5-star hotel,8,Matale
Historical,Hambantota,"Kelaniya Raja Maha Vihara, Kelaniya",Warm,13,32000,guest houses,3,Colombo
Beach,Ampara,"Mirissa Beach, Mirissa",Warm,3,23000,villa,5,Matara
Historical,Kegalle,"Sigiriya, Sigiriya",Warm,23,177000,3-star hotel,5,Matale
Beach,Ampara,"Mirissa Beach, Mirissa",Warm,4,8000,4-star hotel,1,Matara
Beach,Ratnapura,"Trincomalee Beach, Trincomalee",Warm,16,74000,camping,8,Trincomalee
Beach,Badulla,"Weligama Beach, Weligama",Warm,23,199000,2-star hotel,9,Matara
Cultural,Mannar,"Anuradhapura Sacred City, Anuradhapura",Warm,16,123000,2-star hotel,8,Anuradhapura
Forest,Ratnapura,"Hiyare Reservoir, Galle",Tropical,8,42000,villa,5,Galle
Historical,Badulla,"Mihintale, Anuradhapura",Warm,13,112000,villa,6,Anuradhapura
Beach,Badulla,"Marble Beach, Trincomalee",Warm,4,40000,cottage,7,Trincomalee
Beach,Hambantota,"Hiriketiya Beach, Dickwella",Warm,19,146000,guest houses,8,Matara
Cultural,Kalutara,"Galle Fort, Galle",Warm,20,114000,other,7,Galle
Cultural,Badulla,"Sri Maha Bodhi, Anuradhapura",Warm,20,115000,4-star hotel,3,Anuradhapura
Historical,Mannar,"Anuradhapura Sacred City, Anuradhapura",Warm,23,199000,guest houses,9,Anuradhapura
Forest,Ampara,"Sinharaja Forest Reserve, Deniyaya",Tropical,19,17000,2-star hotel,1,Matara
Cultural,Kandy,"Abhayagiri Dagaba, Anuradhapura",Warm,5,10000,guest houses,2,Anuradhapura
Lakeside,Hambantota,"Gal Oya, Ampara",Moderate,10,32000,cottage,3,Ampara
Historical,Kurunegala,"Lovamahapaya, Anuradhapura",Warm,21,40000,camping,4,Anuradhapura
Mountains,Puttalam,"Kalupahana, Badulla",Cool,2,12000,4-star hotel,4,Badulla
Wildlife,Badulla,"Kumana National Park, Ampara",Warm,11,6000,camping,1,Ampara
Historical,Vavuniya,"Temple of the Tooth, Kandy",Moderate,17,30000,camping,4,Kandy
Lakeside,Matale,"Randenigala Dam, Kandy",Moderate,22,59000,other,4,Kandy
Forest,Kegalle,"Yagirala Forest Reserve, Kalutara",Tropical,20,115000,3-star hotel,5,Kalutara
Wildlife,Batticaloa,"Gal Oya National Park, Ampara",Warm,10,82000,guest houses,8,Ampara
Forest,Hambantota,"Makandawa Forest Reserve, Kitulgala",Tropical,8,55000,2-star hotel,9,Kegalle
Wildlife,Matara,"Horton Plains National Park, Nuwara Eliya",Cool,13,112000,3-star hotel,6,Nuwara Eliya
Lakeside,Kalutara,"Sembuwatta Lake, Matale",Moderate,5,78000,5-star hotel,7,Matale
Cultural,Gampaha,"Kataragama Temple, Kataragama",Warm,3,8000,other,4,Hambantota
Beach,Mullaitivu,"Hiriketiya Beach, Dickwella",Warm,20,115000,4-star hotel,3,Matara
Forest,Polonnaruwa,"Knuckles Forest Reserve, Kandy",Tropical,11,25000,camping,5,Kandy
Cultural,Mullaitivu,"Mihintale, Anuradhapura",Warm,15,202000,4-star hotel,7,Anuradhapura
Historical,Trincomalee,"Sigiriya, Sigiriya",Warm,8,66000,guest houses,8,Matale
Mountains,Gampaha,"Ravana Falls, Ella",Cool,12,15000,other,2,Badulla
Forest,Galle,"Kithulgala Forest Reserve, Kegalle",Tropical,19,36000,other,3,Kegalle
Historical,Badulla,"Sri Maha Bodhi, Anuradhapura",Warm,10,29000,camping,6,Anuradhapura
Forest,Puttalam,"Kithulgala Forest Reserve, Kegalle",Tropical,1,5000,cottage,5,Kegalle
Mountains,Mullaitivu,"Diyatalawa, Badulla",Cool,19,36000,camping,5,Badulla
Lakeside,Mannar,"Beira Lake, Colombo",Moderate,17,69000,other,6,Colombo
Cultural,Puttalam,"Yapahuwa Rock Fortress, Yapahuwa",Warm,18,52000,camping,7,Kurunegala
Lakeside,Ratnapura,"Nuwara Wewa, Anuradhapura",Moderate,10,23000,villa,2,Anuradhapura
Mountains,Puttalam,"Thotupola Kanda, Nuwara Eliya",Cool,24,323000,4-star hotel,7,Nuwara Eliya
Historical,Kandy,"Ruwanwelisaya, Anuradhapura",Warm,18,389000,5-star hotel,9,Anuradhapura
Wildlife,Batticaloa,"Udawalawe National Park, Ratnapura",Warm,2,8000,guest houses,4,Ratnapura
Cultural,Vavuniya,"Munneswaram Temple, Chilaw",Warm,22,135000,guest houses,8,Puttalam
Wildlife,Galle,"Kaudulla National Park, Polonnaruwa",Warm,7,11000,other,2,Polonnaruwa
Lakeside,Kandy,"Handapanagala Lake, Wellawaya",Moderate,21,22000,3-star hotel,1,Monaragala
Cultural,Kurunegala,"Ambuluwawa Temple, Gampola",Moderate,18,97000,2-star hotel,6,Kandy
Historical,Kurunegala,"Mihintale, Anuradhapura",Warm,11,63000,villa,4,Anuradhapura
Historical,Kegalle,"Temple of the Tooth, Kandy",Moderate,11,118000,3-star hotel,8,Kandy
Forest,Hambantota,"Bopath Ella, Kuruwita",Tropical,2,3000,2-star hotel,2,Ratnapura
Forest,Mannar,"Knuckles Forest Reserve, Kandy",Tropical,19,51000,villa,2,Kandy
Forest,Polonnaruwa,"Meemure, Kandy",Tropical,22,73000,2-star hotel,4,Kandy
Lakeside,Monaragala,"Kantale Lake, Trincomalee",Moderate,12,69000,villa,5,Trincomalee
Cultural,Kurunegala,"Isurumuniya, Anuradhapura",Warm,6,67000,cottage,9,Anuradhapura
Historical,Kilinochchi,"Lovamahapaya, Anuradhapura",Warm,17,41000,5-star hotel,1,Anuradhapura
Wildlife,Kandy,"Pigeon Island National Park, Trincomalee",Warm,7,32000,4-star hotel,2,Trincomalee
Lakeside,Colombo,"Sorabora Wewa, Mahiyanganaya",Moderate,19,182000,5-star hotel,5,Badulla
Mountains,Trincomalee,"Kabaragala, Nawalapitiya",Cool,4,25000,villa,5,Nuwara Eliya
Cultural,Colombo,"Isurumuniya, Anuradhapura",Warm,9,117000,3-star hotel,9,Anuradhapura
Historical,Jaffna,"Sri Maha Bodhi, Anuradhapura",Warm,9,26000,guest houses,3,Anuradhapura
Forest,Monaragala,"Kottawa Arboretum, Galle",Tropical,24,135000,guest houses,8,Galle
Lakeside,Vavuniya,"Sembuwatta Lake, Matale",Moderate,24,288000,villa,9,Matale
Cultural,Jaffna,"Anuradhapura Sacred City, Anuradhapura",Warm,18,52000,guest houses,3,Anuradhapura
Historical,Anuradhapura,"Polonnaruwa Ruins, Polonnaruwa",Warm,11,88000,villa,6,Polonnaruwa
Mountains,Kegalle,"Horton Plains National Park, Nuwara Eliya",Cool,15,216000,5-star hotel,6,Nuwara Eliya
Forest,Kurunegala,"Meemure, Kandy",Tropical,11,12000,cottage,1,Kandy
Cultural,Anuradhapura,"Kataragama Temple, Kataragama",Warm,6,28000,other,7,Hambantota
Mountains,Matara,"Kalupahana, Badulla",Cool,23,212000,3-star hotel,8,Badulla
Cultural,Badulla,"Gangaramaya Temple, Colombo",Warm,4,2000,camping,1,Colombo
Cultural,Matale,"Yapahuwa Rock Fortress, Yapahuwa",Warm,18,30000,guest houses,2,Kurunegala
Beach,Galle,"Bentota Beach, Bentota",Warm,14,103000,other,9,Kalutara
Cultural,Galle,"Yapahuwa Rock Fortress, Yapahuwa",Warm,17,113000,guest houses,8,Kurunegala
Forest,Batticaloa,"Kanneliya Forest Reserve, Galle",Tropical,17,39000,guest houses,3,Galle
Cultural,Kalutara,"Isurumuniya, Anuradhapura",Warm,24,288000,5-star hotel,5,Anuradhapura
Lakeside,Puttalam,"Victoria Reservoir, Kandy",Moderate,7,19000,guest houses,3,Kandy
Forest,Matara,"Badulla Forest, Badulla",Tropical,24,147000,4-star hotel,4,Badulla
Wildlife,Matale,"Lunugamvehera National Park, Hambantota",Warm,17,61000,other,5,Hambantota
Wildlife,Hambantota,"Kumana National Park, Ampara",Warm,16,104000,4-star hotel,3,Ampara
Beach,Gampaha,"Jungle Beach, Unawatuna",Warm,5,3000,camping,1,Galle
Mountains,Polonnaruwa,"Baker's Falls, Horton Plains",Cool,10,43000,other,6,Nuwara Eliya
Forest,Trincomalee,"Knuckles Forest Reserve, Kandy",Tropical,21,84000,villa,3,Kandy
Lakeside,Matara,"Gal Oya, Ampara",Moderate,23,57000,villa,2,Ampara
Historical,Hambantota,"Dambulla Cave Temple, Dambulla",Warm,22,77000,cottage,3,Matale
Mountains,Trincomalee,"Knuckles Mountain Range, Matale",Cool,3,19000,3-star hotel,5,Matale
Lakeside,Monaragala,"Victoria Reservoir, Kandy",Moderate,21,196000,cottage,8,Kandy
Historical,Matale,"Sri Maha Bodhi, Anuradhapura",Warm,21,121000,other,8,Anuradhapura
Cultural,Kurunegala,"Mihintale, Anuradhapura",Warm,17,106000,cottage,5,Anuradhapura
Wildlife,Nuwara Eliya,"Wasgamuwa National Park, Matale",Warm,16,22000,other,2,Matale
Wildlife,Trincomalee,"Sinharaja Forest Reserve, Galle",Warm,20,90000,guest houses,5,Galle
Historical,Kegalle,"Munneswaram Temple, Chilaw",Warm,20,137000,villa,6,Puttalam
Forest,Nuwara Eliya,"Meemure, Kandy",Tropical,11,82000,2-star hotel,9,Kandy
Lakeside,Matale,"Tissa Wewa, Tissamaharama",Moderate,23,212000,4-star hotel,6,Hambantota
Beach,Kalutara,"Arugam Bay, Ampara",Warm,16,74000,camping,8,Ampara
Mountains,Galle,"Horton Plains National Park, Nuwara Eliya",Cool,2,20000,villa,7,Nuwara Eliya
Forest,Matara,"Meemure, Kandy",Tropical,15,225000,4-star hotel,9,Kandy
Forest,Badulla,"Makandawa Forest Reserve, Kitulgala",Tropical,3,52000,5-star hotel,9,Kegalle
Historical,Polonnaruwa,"Sri Maha Bodhi, Anuradhapura",Warm,2,5000,camping,5,Anuradhapura
Historical,Trincomalee,"Munneswaram Temple, Chilaw",Warm,13,22000,other,3,Puttalam
Historical,Kurunegala,"Kataragama Temple, Kataragama",Warm,10,18000,guest houses,2,Hambantota
Beach,Kalutara,"Passekudah Beach, Passekudah",Warm,14,115000,other,9,Batticaloa
Forest,Galle,"Badulla Forest, Badulla",Tropical,13,30000,3-star hotel,2,Badulla
Wildlife,Mullaitivu,"Horton Plains National Park, Nuwara Eliya",Cool,19,46000,5-star hotel,1,Nuwara Eliya
Mountains,Gampaha,"Ella Rock, Ella",Cool,10,173000,5-star hotel,9,Badulla
Beach,Monaragala,"Trincomalee Beach, Trincomalee",Warm,3,10000,guest houses,3,Trincomalee
Wildlife,Mullaitivu,"Horton Plains National Park, Nuwara Eliya",Cool,5,12000,5-star hotel,1,Nuwara Eliya
Historical,Anuradhapura,"Sigiriya, Sigiriya",Warm,1,7000,guest houses,7,Matale
Wildlife,Kurunegala,"Udawalawe National Park, Ratnapura",Warm,11,32000,3-star hotel,2,Ratnapura
Forest,Nuwara Eliya,"Knuckles Forest Reserve, Kandy",Tropical,17,46000,camping,6,Kandy
Cultural,Matale,"Anuradhapura Sacred City, Anuradhapura",Warm,10,5000,camping,1,Anuradhapura
Wildlife,Kalutara,"Sinharaja Forest Reserve, Galle",Warm,7,9000,villa,1,Galle
Cultural,Ampara,"Munneswaram Temple, Chilaw",Warm,15,69000,villa,4,Puttalam
Historical,Vavuniya,"Ambuluwawa Temple, Gampola",Moderate,1,11000,4-star hotel,6,Kandy
Cultural,Gampaha,"Dambulla Cave Temple, Dambulla",Warm,22,231000,cottage,9,Matale
Forest,Kurunegala,"Kanneliya Forest Reserve, Galle",Tropical,6,7000,camping,3,Galle
Cultural,Galle,"Sri Maha Bodhi, Anuradhapura",Warm,22,211000,5-star hotel,4,Anuradhapura
Historical,Badulla,"Jethawanaramaya, Anuradhapura",Warm,21,157000,cottage,6,Anuradhapura
Beach,Kegalle,"Nilaveli Beach, Trincomalee",Warm,12,62000,other,6,Trincomalee
Forest,Galle,"Sinharaja Forest Reserve, Deniyaya",Tropical,22,10000,camping,1,Matara
Historical,Colombo,"Sri Maha Bodhi, Anuradhapura",Warm,22,158000,3-star hotel,5,Anuradhapura
Mountains,Trincomalee,"Knuckles Mountain Range, Kandy",Cool,3,22000,guest houses,9,Kandy
Cultural,Mullaitivu,"Ambuluwawa Temple, Gampola",Moderate,14,157000,5-star hotel,5,Kandy
Beach,Matara,"Trincomalee Beach, Trincomalee",Warm,19,219000,5-star hotel,4,Trincomalee
Cultural,Kilinochchi,"Temple of the Tooth, Kandy",Moderate,2,9000,2-star hotel,5,Kandy
Beach,Nuwara Eliya,"Hikkaduwa Beach, Hikkaduwa",Warm,23,497000,5-star hotel,9,Galle
Lakeside,Mullaitivu,"Parakrama Samudraya, Polonnaruwa",Moderate,12,15000,3-star hotel,1,Polonnaruwa
Forest,Mullaitivu,"Dunhinda Falls, Badulla",Tropical,6,50000,5-star hotel,4,Badulla
Forest,Kegalle,"Sinharaja Forest Reserve, Deniyaya",Tropical,19,17000,2-star hotel,1,Matara
Forest,Ratnapura,"Knuckles Forest Reserve, Kandy",Tropical,9,65000,4-star hotel,4,Kandy
Lakeside,Colombo,"Tissa Wewa, Tissamaharama",Moderate,6,3000,other,1,Hambantota
Cultural,Gampaha,"Galle Fort, Galle",Warm,4,7000,3-star hotel,1,Galle
Mountains,Trincomalee,"Lipton’s Seat, Haputale",Cool,3,8000,other,5,Badulla
